state_name,state_fips,technology,file_id,file_name,download_link
Nevada,32,Copper,1582374,bdc_32_Copper_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582374/1
New Hampshire,33,Copper,1582375,bdc_33_Copper_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582375/1
New Jersey,34,Copper,1582376,bdc_34_Copper_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582376/1
New Mexico,35,Copper,1582377,bdc_35_Copper_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582377/1
New York,36,Copper,1582378,bdc_36_Copper_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582378/1
North Carolina,37,Copper,1582379,bdc_37_Copper_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582379/1
North Dakota,38,Copper,1582380,bdc_38_Copper_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582380/1
Ohio,39,Copper,1582381,bdc_39_Copper_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582381/1
Oklahoma,40,Copper,1582382,bdc_40_Copper_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582382/1
Oregon,41,Copper,1582383,bdc_41_Copper_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582383/1
Pennsylvania,42,Copper,1582384,bdc_42_Copper_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582384/1
